Unknown Mother
1000 Embryos
2 Loci
	!Typh04	!Typh16
Emb_929	233/197	255/251	
Emb_930	217/888	255/247	
Emb_931	233/888	255/247	
Emb_932	233/197	255/251	
Emb_933	233/197	255/251	
Emb_934	233/201	255/247	
Emb_935	217/201	255/247	
Emb_936	217/213	255/259	
Emb_937	217/201	255/259	
Emb_938	233/237	255/259	
Emb_939	217/213	255/259	
Emb_940	233/888	255/247	
Emb_941	217/213	255/259	
Emb_942	217/237	255/259	
Emb_943	217/213	255/259	
Emb_944	233/888	255/259	
Emb_945	233/237	255/259	
Emb_946	233/888	255/259	
Emb_947	233/888	255/247	
Emb_948	217/213	255/259	
Emb_949	217/201	255/247	
Emb_950	217/213	255/259	
Emb_951	217/237	255/247	
Emb_952	217/201	255/259	
Emb_953	233/201	255/259	
Emb_954	217/213	255/259	
Emb_955	217/237	255/247	
Emb_956	233/213	255/259	
Emb_957	217/213	255/259	
Emb_958	233/201	255/259	
Emb_959	233/888	255/259	
Emb_960	217/197	255/251	
Emb_961	217/888	255/259	
Emb_962	233/888	255/247	
Emb_963	233/888	255/259	
Emb_964	217/201	255/247	
Emb_965	217/201	255/247	
Emb_966	217/888	255/259	
Emb_967	233/201	255/247	
Emb_968	217/201	255/259	
Emb_969	233/213	255/251	
Emb_970	233/213	255/247	
Emb_971	217/197	255/259	
Emb_972	233/197	255/259	
Emb_973	217/237	255/247	
Emb_974	233/237	255/247	
Emb_975	217/213	255/259	
Emb_976	233/197	255/259	
Emb_977	233/197	255/251	
Emb_978	217/213	255/259	
Emb_979	217/237	255/259	
Emb_980	217/201	255/259	
Emb_981	217/201	255/247	
Emb_982	233/237	255/247	
Emb_983	217/213	255/259	
Emb_984	217/237	255/259	
Emb_985	233/888	255/247	
Emb_986	217/201	255/259	
Emb_987	217/213	255/259	
Emb_988	233/201	255/247	
Emb_989	233/237	255/247	
Emb_990	233/213	255/259	
Emb_991	217/888	255/247	
Emb_992	233/213	255/247	
Emb_993	233/201	255/259	
Emb_994	217/213	255/259	
Emb_995	233/237	255/259	
Emb_996	233/237	255/247	
Emb_997	217/213	255/251	
Emb_998	233/201	255/259	
Emb_999	233/213	255/247	
Emb_1000	233/201	255/247	

Real Solution:
Mom	217/233	255/255	
Dad 1	888/213	247/259	No. Emb:	323
Dad 2	213/197	251/259	No. Emb:	341
Dad 3	237/201	247/259	No. Emb:	336
